driverId,raceId,totaltime,avglaptime,lapnum,lapnummax,position,q1,q2,q3,prop,constructorId,year,budget,circuitId,Weather,qfastest,totallap,fastestLapSpeed
1,998,5252.048,101.00092307692307,52,52,1,01:26.8,01:26.3,01:25.9,1,131,2018,400,9,0,85.9,28.982,232.424
1,999,5549.845,82.83350746268657,67,67,14,01:13.0,NA,NA,0.315789474,131,2018,400,10,1,73,18.978,217.968
1,1000,5836.427,83.37752857142857,70,70,1,01:17.4,01:31.2,01:35.7,1,131,2018,400,11,0,77.4,21.48,194.454
1,1001,5025.537,114.21675,44,44,1,01:43.0,01:41.6,01:58.2,1,131,2018,400,13,0,101.6,41.747,236.264
1,1002,4614.484,87.06573584905661,53,53,3,01:20.8,01:19.8,01:19.3,0.894736842,131,2018,400,14,0,79.3,23.728,252.794
1,1003,6671.611,109.37067213114754,61,61,1,01:39.4,01:37.3,01:36.0,1,131,2018,400,15,0,96,28.946,177.108
1,1004,5245.181,98.96567924528301,53,53,2,01:32.4,01:32.6,01:31.5,0.947368421,131,2018,400,71,0,91.5,29.551,219.492
1,1005,5237.062,98.81249056603774,53,53,1,01:28.7,01:28.0,01:27.8,1,131,2018,400,22,0,87.8,22.614,225.307
1,1006,5660.985,101.08901785714286,56,56,1,01:34.1,01:33.5,01:32.2,1,131,2018,400,69,0,92.2,47.608,203.782
1,1007,5987.589,84.33223943661972,71,71,3,01:15.7,01:15.6,01:14.9,0.894736842,131,2018,400,32,0,74.9,44.668,191.933
1,1008,5229.066,73.64881690140845,71,71,1,01:08.5,01:07.8,01:07.3,1,131,2018,400,18,0,67.3,22.641,216.065
1,1009,5980.382,108.73421818181818,55,55,1,01:36.8,01:35.7,01:34.8,1,131,2018,400,24,0,94.8,21.283,197.267
1,1010,5148.211,88.76225862068965,58,58,1,01:22.0,01:21.0,01:20.5,1,131,2019,484,1,0,80.5,21.515,221.839
1,1011,5661.295,99.3209649122807,57,57,3,01:29.3,01:28.6,01:28.2,0.894736842,131,2019,484,3,0,88.2,48.579,208.314
1,1012,5526.35,98.68482142857142,56,56,2,01:33.1,01:31.6,01:31.6,0.941176471,131,2019,484,17,0,91.6,46.241,204.642
1,1013,5514.466,108.1267843137255,51,51,2,01:41.6,01:41.6,01:40.6,0.947368421,131,2019,484,73,0,100.6,19.993,207.465
1,1014,5750.443,87.12792424242424,66,66,2,01:17.3,01:16.0,01:16.0,0.947368421,131,2019,484,4,0,76,44.776,213.499
1,1015,6208.437,79.59534615384615,78,78,1,01:11.5,01:10.8,01:10.2,1,131,2019,484,6,0,70.2,24.266,157.721
1,1016,5347.084,76.38691428571428,70,70,2,01:11.5,01:11.0,01:10.4,0.947368421,131,2019,484,7,0,70.4,23.662,209.851
1,1017,5071.198,95.68298113207547,53,53,1,01:30.6,01:29.5,01:28.3,1,131,2019,484,34,0,88.3,30.186,226.717
1,1018,4944.627,69.6426338028169,71,71,2,01:03.8,01:03.8,01:03.3,0.947368421,131,2019,484,70,0,63.3,30.067,228.432
1,1019,4868.452,93.62407692307693,52,52,2,01:25.5,01:25.8,01:25.1,0.947368421,131,2019,484,9,0,85.1,28.905,242.735
1,1020,6290.942,98.29596875,64,64,1,01:12.9,01:12.1,01:11.8,1,131,2019,484,10,1,71.8,178.866,208.935
1,1021,5703.796,81.4828,70,70,3,01:16.1,01:15.5,01:14.8,0.894736842,131,2019,484,11,0,74.8,44.27,200.84
1,1022,5026.691,114.24297727272727,44,44,3,01:45.3,01:43.6,01:43.3,0.894736842,131,2019,484,13,0,103.3,23.497,236.577
1,1023,4561.864,86.07290566037736,53,53,2,01:20.3,01:19.5,01:19.3,0.947368421,131,2019,484,14,0,79.3,47.643,255.014
1,1024,7118.275,116.69303278688524,61,61,2,01:37.6,01:36.9,01:36.4,0.947368421,131,2019,484,15,0,96.4,28.93,173.73
1,1025,5618.992,106.01871698113207,53,53,2,01:33.2,01:33.1,01:32.0,0.947368421,131,2019,484,71,0,92,29.751,219.847
1,1026,4920.613,94.62717307692307,52,52,4,01:28.7,01:27.8,01:27.3,0.842105263,131,2019,484,22,0,87.3,47.173,229.77
1,1027,5808.9039999999995,81.81554929577464,71,71,4,01:16.4,01:15.7,01:15.3,0.842105263,131,2019,484,32,0,75.3,22.269,194.993
1,1028,5639.801,100.71073214285714,56,56,5,01:33.5,01:33.0,01:32.3,0.789473684,131,2019,484,69,0,92.3,23.943,201.6
1,1029,5600.817,78.88474647887324,71,71,3,01:08.6,01:08.1,01:07.7,0.894736842,131,2019,484,18,0,67.7,69.03,218.232
1,1030,5645.715,102.64936363636363,55,55,1,01:35.9,01:35.6,01:34.8,1,131,2019,484,24,0,94.8,22.178,201.387
1,1031,5456.428,76.85109859154929,71,71,2,01:04.2,01:03.1,01:03.0,0.947368421,131,2020,426,70,0,63,38.215,229.572
1,1032,4970.683,70.00961971830986,71,71,1,01:18.2,01:17.8,01:19.3,1,131,2020,426,70,0,77.8,21.729,232.989
1,1033,5772.473,82.4639,70,70,1,01:14.9,01:14.3,01:13.4,1,131,2020,426,11,0,73.4,67.01,205.823
1,1034,5281.283,101.56313461538461,52,52,1,01:25.9,01:25.3,01:24.3,1,131,2020,426,9,0,84.3,28.805,237.652
1,1035,4793.319,92.17921153846154,52,52,2,01:26.8,01:26.3,01:25.2,0.947368421,131,2020,426,9,0,85.2,57.808,239.766
1,1036,5505.279,83.41331818181818,66,66,1,01:16.9,01:16.0,01:15.6,1,131,2020,426,4,0,75.6,45.23,209.942
1,1037,5048.761,114.74456818181818,44,44,1,01:42.3,01:42.0,01:41.3,1,131,2020,426,13,0,101.3,23.298,233.99
